prefix,Type,Collection,Title,Grade,Subject,Volume,Author,Publisher
SGK_CanhDieu_DaoDuc_1_,SGK,Cánh Diều,Đạo đức 1,1,Đạo đức,,"Lưu Thu Thuỷ (Tổng Chủ biên kiêm Chủ biên); Nguyễn Thị Việt Hà; Ngô Vũ Thu Hằng; Nguyễn Thị Vân Hương; Trần Thị Tố Oanh",Nhà xuất bản Đại học Sư phạm TP. HCM
SGK_CanhDieu_DaoDuc_2_,SGK,Cánh Diều,Đạo đức 2,2,Đạo đức,,"Trần Văn Thắng (TCB); Ngô Vũ Thu Hằng (CB); Nguyễn Thị Việt Hà; Vũ Thị Mai Hường",Nhà xuất bản Đại học Sư phạm TP. HCM
SGK_CanhDieu_DaoDuc_3_,SGK,Cánh Diều,Đạo đức 3,3,Đạo đức,,"Nguyễn Thị Mỹ Lộc (Tổng Chủ biên); Đỗ Tất Thiên (Chủ biên); Nguyễn Chung Hải; Nguyễn Thanh Huân; Ngô Vũ Thu Hằng; Huỳnh Tông Quyền; Nguyễn Thị Hàn Thy",Nhà xuất bản Đại học Sư phạm TP. HCM
SGK_CanhDieu_TiengViet_2_Tap1_,SGK,Cánh Diều,"Tiếng Việt 2, tập một",2,Tiếng Việt,Tập 1,"GS. TS Nguyễn Minh Thuyết (Tổng Chủ biên kiêm Chủ biên); PGS. TS Hoàng Hoà Bình; TS Nguyễn Khánh Hà; ThS Nguyễn Thị Bích Hà; ThS Hoàng Thị Minh Hương; ThS Trần Mạnh Hưởng; TS Đặng Kim Nga; TS Nguyễn Thị Tố Ninh; ThS Trần Bích Thuỷ; TS Lê Hữu Tỉnh",Nhà xuất bản Đại học Sư phạm TP. HCM
SGK_CanhDieu_TiengViet_2_Tap2_,SGK,Cánh Diều,"Tiếng Việt 2, tập hai",2,Tiếng Việt,Tập 2,"GS. TS Nguyễn Minh Thuyết (Tổng Chủ biên kiêm Chủ biên); PGS. TS Hoàng Hoà Bình; TS Nguyễn Khánh Hà; ThS Nguyễn Thị Bích Hà; ThS Hoàng Thị Minh Hương; ThS Trần Mạnh Hưởng; TS Đặng Kim Nga; TS Nguyễn Thị Tố Ninh; ThS Trần Bích Thuỷ; TS Lê Hữu Tỉnh",Nhà xuất bản Đại học Sư phạm TP. HCM
SGK_CanhDieu_Toan_1_,SGK,Cánh Diều,Toán 1,1,Toán,,"GS. TSKH Đỗ Đức Thái (Tổng Chủ biên); PGS. TS Đỗ Tiến Đạt (Chủ biên); TS Nguyễn Hoài Anh; TS Trần Thuý Ngà; CN Nguyễn Thị Thanh Sơn",Nhà xuất bản Đại học Sư phạm
SGK_CanhDieu_Toan_3_Tap1_,SGK,Cánh Diều,"Toán 3, tập một",3,Toán,Tập 1,"GS. TSKH Đỗ Đức Thái (Tổng Chủ biên); PGS. TS Đỗ Tiến Đạt (Chủ biên); TS Nguyễn Hoài Anh; TS Trần Thuý Ngà; CN Nguyễn Thị Thanh Sơn",Nhà xuất bản Đại học Sư phạm
SGK_CanhDieu_TuNhienVaXaHoi_1_,SGK,Cánh Diều,Tự nhiên và Xã hội 1,1,Tự nhiên và Xã hội,,"Mai Sỹ Tuấn (Tổng Chủ biên); Bùi Phương Nga (Chủ biên); Nguyễn Tuyết Nga; Lương Việt Thái; Nguyễn Thị Thu Trang",Nhà xuất bản Đại học Sư phạm
SGK_CanhDieu_TuNhienVaXaHoi_2_,SGK,Cánh Diều,Tự nhiên và Xã hội 2,2,Tự nhiên và Xã hội,,"PGS. TS Mai Sỹ Tuấn (Tổng Chủ biên); TS Bùi Phương Nga (Chủ biên); PGS. TS Nguyễn Tuyết Nga; TS Lương Việt Thái; ThS Phùng Thanh Huyền",Nhà xuất bản Đại học Sư phạm
SGK_CanhDieu_TuNhienVaXaHoi_3_,SGK,Cánh Diều,Tự nhiên và Xã hội 3,3,Tự nhiên và Xã hội,,"Mai Sỹ Tuấn (Tổng Chủ biên); Bùi Phương Nga (Chủ biên); Nguyễn Tuyết Nga; Lương Việt Thái; Phùng Thanh Huyền",Nhà xuất bản Đại học Sư phạm
